long,lat,stressor
-0.28190589,0.14269389,Gillnet
0.04021248,0.09438946,Gillnet
-0.22680016,-0.04981387,Gillnet
0.28252166,0.10058388,Gillnet
-0.05487018,0.14747818,Gillnet
-0.26840047,-0.43862151,Gillnet
0.04188302,-0.0948321,Gillnet
0.1018264,0.04298564,Gillnet
-0.05875232,0.12016191,Gillnet
0.1662187,0.01977179,Gillnet
-0.20524639,0.13060329,Gillnet
-0.13287213,-0.1043571,Gillnet
-0.18998357,-0.01655463,Gillnet
0.08967989,0.05673211,Gillnet
-0.15549227,-0.23697794,Gillnet
-0.14137907,0.16897441,Gillnet
0.08909303,-0.07898609,Gillnet
-0.02794946,-0.0343224,Gillnet
0.11269581,0.2978192,Gillnet
-0.16889197,0.06310567,Gillnet
-0.00555941,-0.08117397,Gillnet
0.03942333,0.0295095,Gillnet
0.02421726,-0.10469034,Gillnet
0.15223313,0.06264012,Gillnet
-0.03760363,0.06600785,Gillnet
0.00601215,-0.08437065,Gillnet
0.14621819,0.05483734,Gillnet
0.43219555,-0.07100096,Gillnet
0.11626437,0.21424464,Gillnet
0.09748621,-0.12123505,Gillnet
0.12645109,0.53349862,Gillnet
-0.20488997,0.40055643,Gillnet
0.0011154,-0.40150537,Gillnet
-0.22683839,-0.1140609,Gillnet
0.05584134,0.18331435,Trawling
-0.02969141,-0.19467759,Trawling
0.39828322,-0.08866753,Trawling
-0.21775195,-0.04798634,Trawling
0.17155986,-0.04706196,Trawling
-0.04110403,0.06100239,Trawling
0.21816682,-0.33323167,Trawling
0.1522082,0.03379702,Trawling
-0.28112767,0.00554815,Trawling
-0.01115027,0.01249058,Trawling
0.02962499,0.05413282,Trawling
0.12445092,-0.04125278,Trawling
-0.46526213,0.1463219,Trawling
-0.10450367,0.02731402,Trawling
-0.12073659,-0.13725944,Trawling
-0.10196092,-0.04487219,Trawling
0.13353477,-0.42378728,Trawling
-0.42361759,0.127577,Trawling
0.00914746,-0.18848108,Trawling
-0.08669235,-0.17888669,Trawling
-0.30986028,0.03895316,Trawling
0.17429071,-0.03722255,Trawling
0.00975751,0.16203096,Trawling
0.03405476,-0.21291938,Trawling
0.01493232,0.20684236,Trawling
0.05751211,0.16528938,Trawling
-0.08682002,0.00433366,Trawling
-0.0290755,-0.17789568,Trawling
-0.19138848,0.22209812,Trawling
-0.48314813,0.05418673,Trawling
0.06069456,-0.10670755,Trawling
-0.26296525,-0.04214979,Trawling
-0.03734962,-0.12711706,Trawling
-0.05189184,0.0265675,Trawling
-0.13347713,-0.14509449,Trawling
0.1636889,0.13627427,Trawling
-0.45791674,0.05770586,Trawling
0.00902684,-0.07645979,Trawling
0.07340567,-0.2095314,Trawling
0.00854616,-0.11591193,Trawling
-0.14859425,0.03562959,Trawling
-0.0483955,0.35997319,Trawling
-0.27518422,0.27755497,Trawling
-0.27117013,0.01680737,Trawling
0.08892688,-0.00696726,Trawling
0.2404387,-0.04566868,Trawling
0.09070868,-0.06167826,Trawling
0.08612964,-0.11239205,Trawling
-0.02559947,0.24331213,Trawling
-0.25394028,-0.17108353,Trawling
0.05584134,-0.31176898,Trawling
-0.02969141,0.12738773,Trawling
0.39828322,0.05407203,Trawling
-0.21775195,-0.04892017,Trawling
0.17155986,-0.02054063,Trawling
-0.04110403,0.12338737,Trawling
0.21816682,-0.02391751,Trawling
0.1522082,-0.06953138,Trawling
-0.28112767,-0.21755036,Trawling
-0.01115027,-0.04339251,Trawling
0.02962499,0.0688402,Trawling
0.12445092,-0.20673844,Trawling
-0.46526213,0.225936,Trawling
-0.10450367,-0.00518892,Trawling
-0.12073659,-0.09075815,Trawling
-0.10196092,-0.07771317,Trawling
0.13353477,0.30409323,Trawling
-0.42361759,-0.03338623,Trawling
0.00914746,-0.22142959,Trawling
-0.08669235,-0.01212967,Trawling
-0.30986028,-0.240436,Trawling
0.17429071,0.21692099,Trawling
0.00975751,-0.02451781,Trawling
0.03405476,0.12469556,Trawling
0.01493232,-0.11233424,Trawling
0.05751211,0.23299078,Trawling
-0.08682002,-0.28454076,Trawling
-0.0290755,-0.02217327,Trawling
-0.19138848,-0.10127831,Trawling
-0.48314813,-0.25270233,Trawling
0.06069456,-0.28216148,Trawling
-0.26296525,-0.04668819,Trawling
-0.03734962,-0.25432392,Trawling
-0.05189184,-0.0985621,Trawling
-0.13347713,0.07583414,Trawling
0.1636889,0.25251102,Trawling
-0.45791674,-0.10522519,Trawling
0.00902684,0.02289823,Trawling
0.07340567,-0.06037113,Trawling
0.00854616,-0.05557081,Trawling
-0.14859425,-0.14166212,Trawling
-0.0483955,0.3340936,Trawling
-0.27518422,0.26816786,Trawling
-0.27117013,-0.0614802,Trawling
0.08892688,-0.07286138,Trawling
0.2404387,-0.13658491,Trawling
0.09070868,0.01319801,Trawling
0.08612964,0.29633916,Trawling
-0.02559947,-0.05360907,Trawling
-0.25394028,0.25977163,Trawling
