long,lat,species,group_size
-0.33734820,0.19985630,Turtle,1
0.24943400,-0.21837360,Turtle,1
-0.35403860,0.17072570,Turtle,1
0.04456720,-0.12541530,Turtle,1
-0.11210410,0.08413700,Turtle,1
-0.10162590,-0.07917470,Turtle,1
-0.18776660,-0.07794960,Turtle,1
0.32712990,0.07671470,Turtle,1
-0.13056340,0.33257410,Turtle,1
0.16784270,-0.22562790,Turtle,1
-0.12231910,-0.02621500,Turtle,1
-0.07434340,-0.08337320,Turtle,1
-0.10304680,0.13047230,Turtle,1
-0.06835370,-0.32956290,Turtle,2
0.13678380,-0.13530680,Turtle,1
0.15966850,-0.26109360,Turtle,1
-0.15996080,-0.08107600,Turtle,1
0.04592600,0.27181940,Turtle,1
0.33870960,-0.13224990,Turtle,1
-0.15369420,-0.18291640,Turtle,1
-0.30863050,0.02565160,Turtle,1
-0.26412020,-0.04508720,Turtle,1
-0.13516430,0.13401940,Turtle,1
-0.07340110,0.10755950,Turtle,1
-0.10277440,-0.01105340,Turtle,1
-0.19185080,0.10042050,Turtle,2
-0.02433270,-0.12805070,Turtle,1
0.13318740,0.36057300,Turtle,1
0.24774400,0.19974360,Turtle,1
0.23678820,0.17554560,Turtle,1
0.29967230,-0.09097270,Turtle,1
-0.05782090,-0.01767890,Turtle,1
0.38473740,0.00793250,Turtle,1
0.10370250,0.10941400,Turtle,1
0.09531820,-0.04513740,Turtle,1
0.06052070,0.07873130,Turtle,1
0.16424650,0.02471640,Turtle,2
0.07851590,0.03225730,Turtle,1
-0.28809020,-0.25496330,Turtle,1
-0.17377950,-0.23544030,Turtle,1
-0.59729120,0.02533160,Turtle,1
-0.01010950,0.34823690,Turtle,1
0.25990260,-0.11724510,Turtle,1
-0.27028020,-0.08903740,Turtle,1
-0.18995980,-0.01738640,Turtle,1
0.33722040,0.05596610,Turtle,3
0.04885910,0.02140330,Turtle,1
-0.27761590,-0.00120310,Turtle,1
0.17742380,0.34882300,Turtle,1
0.00563450,-0.01227380,Turtle,1
0.05581750,-0.50687640,Turtle,1
-0.01511360,0.07860050,Turtle,1
0.02460810,0.13356040,Turtle,1
-0.20628210,-0.03558700,Turtle,1
0.01794060,-0.07925080,Turtle,1
0.26439570,-0.10401800,Turtle,1
-0.06153480,0.17573680,Turtle,1
0.29571520,-0.10787030,Turtle,1
-0.09390720,0.27284480,Turtle,2
-0.17316880,0.33329740,Turtle,1
